YU|ADM|Dominair|DOMINAIR|Dominican Republic|defunct; former IATA code: SS; former name: Aerolíneas Dominicanas, ICAO code no longer allocated
YT|TGA|Air Togo|AIR TOGO|Togo|defunct
YT|NYT|Yeti Airlines|YETI AIRLINES|Nepal|Domestic
YS|RAE|Régional Compagnie Aérienne Européenne|REGIONAL EUROPE|France|
YQ|LCT|TAR Aerolineas|TAR|Mexico|
YM|MGX|Montenegro Airlines|MONTENEGRO|Montenegro|former callsign was "MONTAIR"
YL|LLM|Yamal Airlines|YAMAL|Russia|
YK|KYV|Cyprus Turkish Airlines|AIRKIBRIS|Turkey|Ceased operations 2010
YH|WCW|West Caribbean Airways|WEST|Colombia|
YE|ACQ|Aryan Cargo Express||India|
YD|CAT|Cologne Air Transport GmbH||Germany|defunct since 1996
YB|BRJ|Borajet|BORA JET|Turkey|
Y9|IRK|Kish Air|KISHAIR|Iran|
Y8|YZR|Yangtze River Express|YANGTZE RIVER|China|
Y6|BTV|Batavia Air|BATAVIA|Indonesia|As of June 1, 2010, IATA code changed to Y6.
Y5|GMR|Golden Myanmar Airlines|GOLDEN MYANMAR|Myanmar|
Y5|PCE|Pace Airlines|PACE|United States|
Y4|VOI|Volaris|VOLARIS|Mexico|
Y2|AFJ|Alliance Air|JAMBO|Uganda|Ceased operations 08/10/2000
Y2|GSM|Flyglobespan|GLOBESPAN|United Kingdom|defunct
Y0|EMJ|Yellow Air Taxi/Friendship Airways||United States|
XW|NCT|NokScoot|BIG BIRD|Thailand|
XT|AXL|Air Exel|EXEL COMMUTER|Netherlands|defunct
XT|SKT|SkyStar Airways|SKY YOU|Thailand|
XS|SIT|SITA||Belgium|
XQ|SXS|SunExpress|SUNEXPRESS|Turkey|
XP|CXP|Western|RUBY MOUNTAIN|United States|defunct
XP|CXP|Xtra Airways|CASINO EXPRESS|United States|
XO|CXH|China Xinhua Airlines|XINHUA|China|
XO|LTE|LTE International Airways|FUN JET|Spain|
XN|XAR|XpressAir|XPRESS|Indonesia|Renamed from Travel Express Aviation Services in 2012
XM||J-Air|J AIR|Japan|
XL|LNE|Aerolane|AEROLANE|Ecuador|Líneas Aéreas Nacionales Del Ecuador
XK|CCM|Air Corsica|CORSICA|France|
XK|CCM|Corse Méditerranée|CORSICA|France|Name changed to Air Corsica
XJ|MES|Mesaba Airlines|MESABA|United States|
XJ|TAX|Thai AirAsia X|EXPRESS WING|Thailand|
XG|CLI|Clickair|CLICKJET|Spain|Merge into Vueling
XG|SXD|Sunexpress Deutschland|SUNRISE|Germany|
XF|VLK|Vladivostok Air|VLADAIR|Russia|
XC|CAI|Corendon Airlines|CORENDON|Turkey|Turistik Hava Tasimacilik
X9|NVD|Avion Express|NORDVIND|Lithuania|Name changed from Nordic Solutions Air
X7|CHF|Chitaavia|CHITA|Russia|
X3|HLX|Hapag-Lloyd Express (TUIfly)|YELLOW CAB|Germany|
WZ|WSF|West African Airlines||Benin|
WY|OMA|Oman Air|OMAN AIR|Oman|
WX|BCY|CityJet|CITY JET|Ireland|
WX|BCY|CityJet|CITY-IRELAND|Ireland|
WW|BMI|Bmibaby|BABY|United Kingdom|Ceased operations
WW|WOW|WOW air|WOW air|Iceland|
WV|SWV|Swe Fly|FLYING SWEDE|Sweden|
WT|WSG|Wasaya Airways|WASAYA|Canada|
WS|WJA|WestJet|WESTJET|Canada|
WR|HRH|Royal Tongan Airlines|TONGA ROYAL|Tonga|
WR|WEN|WestJet Encore|ENCORE|Canada|
WP|ATW|Air Antwerp|DEVIL|Belgium|
WO|WSW|Swoop|SWOOP|Canada|
WO|WOA|World Airways|WORLD|United States|
WN|SWA|Southwest Airlines|SOUTHWEST|United States|
WK|AFB|American Falcon|AMERICAN FALCON|Argentina|defunct
WK|EDW|Edelweiss Air|EDELWEISS|Switzerland|
WH|CNW|China Northwest Airlines|CHINA NORTHWEST|China|defunct
WH|WEB|WebJet Linhas Aéreas|WEB-BRASIL|Brazil|
WG|SWG|Sunwing Airlines|SUNWING|Canada|
WF|WIF|Widerøe|WIDEROE|Norway|
WE|CWC|Centurion Air Cargo|CHALLENGE CARGO|United States|
WE|THD|Thai Smile Airways|THAI SMILE|Thailand|2014[47]
WD*|AAN|Amsterdam Airlines|AMSTEL|Netherlands|Former IATA code: FH*. ICAO code and call sign no longer allocated
WD|DSR|DAS Air Cargo|DAIRAIR|Uganda|
WD|WDL|WDL Aviation|WDL|Germany|
WC|ISV|Islena De Inversiones||Honduras|
WB|RWD|Rwandair Express|RWANDAIR|Rwanda|
WA|KLC|KLM Cityhopper|CITY|Netherlands|
WA|WAL|Western Airlines|WESTERN|United States|defunct
WA|KLC|KLM Cityhopper|CITY|the Netherlands|
W9|AAB|Abelag Aviation|ABG|Belgium|
W9|JAB|Air Bagan|AIR BAGAN|Myanmar|
W9|SGR|Eastwind Airlines|STINGER|United States|defunct
W9|WUK|Wizz Air UK|WIZZ GO|United Kingdom|
W8|CJT|Cargojet Airways|CARGOJET|Canada|
W7|SAH|Sayakhat Airlines|SAYAKHAT|Kazakhstan|
W7|KMR|Western Pacific Airlines|KOMSTAR|United States|
W6|WZZ|Wizz Air|WIZZAIR|Hungary|
W5|IRM|Mahan Air|MAHAN AIR|Iran|
W4|BES|Aero Services Executive|BIRD EXPRESS|France|
W3|FYH|Flyhy Cargo Airlines|FLY HIGH|Thailand|
W3|SCL|Switfair Cargo|SWIFTAIR|Canada|
W2|CWA|Canadian Western Airlines|CANADIAN WESTERN|Canada|
VZ|MYT|MyTravel Airways|KESTREL|United Kingdom|Defunct, callsign now used by Thomas Cook Airlines
VZ|TVJ|Thai Vietjet Air|THAIVIET JET|Thailand|2014[47]
VY|FOS|Formosa Airlines||Taiwan|defunct
VY|VLG|Vueling Airlines|VUELING|Spain|
VX|AES|ACES Colombia|ACES|Colombia|defunct
VX|VRD|Virgin America|REDWOOD|United States|
VW|TAO|Aeromar|TRANS-AEROMAR|Mexico|
VV|AEW|Aerosvit Airlines|AEROSVIT|Ukraine|defunct
VU|VUN|Air Ivoire|AIRIVOIRE|Ivory Coast|defunct
VT|VTA|Air Tahiti|AIR TAHITI|French Polynesia|
VS|VIR|Virgin Atlantic Airways|VIRGIN|United Kingdom|
VR|TCV|TACV|CABOVERDE|Cape Verde|
VQ|NVQ|Novo Air|NOVO AIR|Bangladesh|
VP|VSP|VASP|VASP|Brazil|defunct
VO|TYR|Tyrolean Airways|TYROLEAN|Austria|Renamed from Austrian Arrows
VN|HVN|Vietnam Airlines|VIET NAM AIRLINES|Vietnam|
VM|VOA|Viaggio Air|VIAGGIO|Bulgaria|
VL|VIM|Air VIA|CRYSTAL|Bulgaria|
VK|FVK|FlyViking|BALDER|Norway|Established in 2016
VK|VGN|Virgin Nigeria Airways|VIRGIN NIGERIA|Nigeria|
VJ|AFF|Africa Airways|AFRIWAYS|Benin|
VJ|JTY|Jatayu Airlines|JATAYU|Indonesia|
VJ|VJC|Vietjet Air|VIETJET|Vietnam|
VI|VDA|Volga-Dnepr Airlines|VOLGA|Russia|
VH|ALV|Aeropostal Alas de Venezuela|AEROPOSTAL|Venezuela|
VH|VVC|Viva Air Colombia|Viva Air Colombia|Colombia|Commenced operations on May 25, 2012
VG|VLM|VLM Airlines|RUBENS|Belgium|
VF|VLU|Valuair|VALUAIR|Singapore|Merged with Jetstar Asia
VE|AVE|Avensa|AVENSA|Venezuela|defunct
VE|EUJ|EUjet|UNION JET|Ireland|defunct
VE|VLE|C.A.I. Second|VOLA|Italy|
VD|LIB|Air Liberté|AIR LIBERTE|France|defunct
VD|KPA|Kunpeng Airlines|KUNPENG|China|
VD|BBB|SwedJet Airways|BLACKBIRD|Sweden|
VC|VCX|Ocean Airlines|OCEANCARGO|Italy|
VC|VAL|Voyageur Airways|VOYAGEUR|Canada|
VB|VIV|Aeroenlaces Nacionales|AEROENLACES|Mexico|Former ICAO code: AEN
VB|VIV|VIVA Aerobus|AEROENLACES|Mexico|
VA|OZW|Virgin Australia Regional Airlines|VELOCITY|Australia|
VA|VOZ|Virgin Australia Airlines|VELOCITY|Australia|PREVIOUSLY USED: KANGA, AURORA, VEE-OZ
VA||Viasa||Venezuela|IATA Code transferred to Virgin Australia
V9|BTC|BAL Bashkirian Airlines|BASHKIRIAN|Russia|
V9|HCW|Star1 Airlines|STAR1|Lithuania|defunct
V8|VAS|ATRAN Cargo Airlines|ATRAN|Russian Federation|
V8|IAR|Iliamna Air Taxi|ILIAMNA AIR|United States|
V7|SNG|Air Senegal International|AIR SENEGAL|Senegal|defunct
V7|VOE|Volotea|VOLOTEA|Spain|
V5|VLI|Avolar Aerolíneas|AEROVOLAR|Mexico|defunct
V5|VPA|DanubeWings|VIP TAXI|Slovakia|Former names VIP Air and VIP Wings
V5|RYL|Royal Aruban Airlines|ROYAL ARUBAN|Aruba|
V4|REK|Reem Air|REEM AIR|Kyrgyzstan|
V4|VES|Vieques Air Link|VIEQUES|United States|
V3|KRP|Carpatair|CARPATAIR|Romania|
V2|AKT|Karat|AVIAKARAT|Russia|
V2|RBY|Vision Airlines|RUBY|United States|Charter Airline and Las Vegas Tours
V0|VCV|Conviasa|CONVIASA|Venezuela|
UZ|BRQ|El-Buraq Air Transport|BURAQAIR|Libya|
UY|UYC|Cameroon Airlines|CAM-AIR|Cameroon|defunct
UX|AEA|Air Europa|EUROPA|Spain|
UU|REU|Air Austral|REUNION|France|
UT|UTA|UTair Aviation|UTAIR|Russia|WAS P2 till 2006
US|AWE|US Airways|CACTUS|United States|
US||Unavia Suisse||Switzerland|
US|USA|US Airways|CACTUS|United States|
UQ|OCM|O'Connor Airlines|OCONNOR|Australia|Defunct - Bankrupt
UP|BHS|Bahamasair|BAHAMAS|Bahamas|
UO|HKE|Hong Kong Express Airways|HONGKONG SHUTTLE|Hong Kong|
UN|TSO|Transaero Airlines|TRANSOVIET|Russia|
UM|AZW|Air Zimbabwe|AIR ZIMBABWE|Zimbabwe|
UL|ALK|SriLankan Airlines|SRILANKAN|Sri Lanka|
UK|VTI|Vistara|Vistara|India|Commenced operations 9 January 2015
UJ|LMU|Al Masria Universal Airlines|ALMASRIA|Egypt|
UI|ECA|Eurocypria Airlines|EUROCYPRIA|Cyprus|
UI|CSW|SW Italia|SILKITALIA|Italy|
UH|USH|US Helicopter|US-HELI|United States|
UG|SEN|SevenAir|S-BAR|United States|
UG|TUI|Tuninter||Tunisia|
UF|UKM|UM Airlines|UKRAINE MEDITERRANEE|Ukraine|Ukraine Mediterranean Airlines
UE|NAS|Nasair|NASAIRWAYS|Eritrea|
UE|TEP|Transeuropean Airlines|TRANSEURLINE|Russia|
UD|HER|Hex'Air|HEX AIRLINE|France|
UC|LCO|LATAM Cargo Chile|LAN CARGO|Chile|
UB|UBA|Myanma Airways|UNIONAIR|Myanmar|
UA|UAL|United Airlines|UNITED|United States|
U8|RNV|Armavia|ARMAVIA|Armenia|defunct, ICAO code no longer allocated
U7|UGA|Air Uganda|UGANDA|Uganda|
U7||Northern Dene Airways||Canada|
U7|JUS|USA Jet Airlines|JET USA|United States|
U6|SVR|Ural Airlines|SVERDLOVSK AIR|Russia|
U5|GWY|USA3000 Airlines|GETAWAY|United States|
U4|BHA|Buddha Air|BUDDHA AIR|Nepal|
U4|PMT|PMTair|MULTITRADE|Cambodia|Progress Multitrade
U3|AIA|Avies|AVIES|Estonia|
U2|EZY|easyJet|EASY|United Kingdom|
U2|UFS|United Feeder Service|FEEDER EXPRESS|United States|formerly part of United Express
TZ|TWG|air-taxi Europe|TWINGOOSE|Germany|
TZ|AMT|ATA Airlines|AMTRAN|United States|defunct
TZ||Tsaradia||Madagascar|
TY|TPC|Air Calédonie|AIRCAL|France|
TY|IWD|Iberworld|IBERWORLD|Spain|
TX|FWI|Air Caraïbes|FRENCH WEST|France|
TX|TAN|Transportes Aéreos Nacionales||Honduras|Defunct
TW|TWB|T'way Air|TWAYAIR|Republic of Korea|
TV|VEX|Virgin Express|VIRGIN EXPRESS|Belgium|
TU|TAR|Tunisair|TUNAIR|Tunisia|
TT|KLA|Air Lithuania|KAUNAS|Lithuania|defunct
TT|TGG|Tigerair Australia|TIGGOZ|Australia|Previously TGW, callsign GO CAT
TS|TSC|Air Transat|AIR TRANSAT|Canada|
TR|TGW|Scoot|SCOOTER|Singapore|Former IATA: TZ Former ICAO: SCO; Adopted Tigerair codes after their merger
TR|TBA|Transbrasil|TRANSBRASIL|Brazil|defunct
TR|TGW|Tigerair Singapore|GO CAT|Singapore|Merged with Scoot
TQ|TDM|Tandem Aero|TANDEM|Moldova|
TP|TAP|TAP Portugal|AIR PORTUGAL|Portugal|
TO|PSD|President Airlines||Cambodia|
TO|TVF|Transavia France|FRANCE SOLEIL|France|
TN|THT|Air Tahiti Nui|TAHITI AIRLINES|France|
TM|LAM|Linhas Aéreas de Moçambique|MOZAMBIQUE|Mozambique|
TL|ANO|Airnorth|TOPEND|Australia|
TL|TMA|Trans Mediterranean Airlines|TANGO LIMA|Lebanon|
TK|THY|Turkish Airlines|TURKISH|Turkey|
TJ|GPD|Tradewind Aviation|GOODSPEED|United States|
TI|TOL|Tol-Air Services|TOL AIR|United States|
TH||BA Connect||United Kingdom|
TH|TSE|Transmile Air Services|TRANSMILE|Malaysia|
TG|THA|Thai Airways International|THAI|Thailand|
TF|SCW|Malmö Aviation|SCANWING|Sweden|
TE|LIL|FlyLal|LITHUANIA AIR|Lithuania|defunct
TE|IGA|Skytaxi|IGUANA|Poland|
TD|LUR|Atlantis European Airways||Armenia|
TD|TLP|Tulip Air|TULIPAIR|Netherlands|
TC|ATC|Air Tanzania|TANZANIA|Tanzania|
TC|ATC|Air Tanzania Company Limited|TANZANIA|Tanzania|
T9|TRZ|TransMeridian Airlines|TRANS-MERIDIAN|United States|Defunct
T9|TSX|Thai Star Airlines|THAI STAR|Thailand|
T7|TJT|Twin Jet|TWINJET|France|
T6|TVR|Tavrey Airlines|TAVREY|Ukraine|
T5|TUA|Turkmenhovayollary|TURKMENISTAN|Turkmenistan|
T4|TIB|TRIP Linhas Aéreas|TRIP|Brazil|IATA code 8R changed to T4 (2010)
T3|EZE|Eastern Airways|EASTFLIGHT|United Kingdom|
T2|TCG|Thai Air Cargo|THAI CARGO|Thailand|
SZ|WOW|Air Southwest|SWALLOW|United Kingdom|defunct
SY|SCX|Sun Country Airlines|SUN COUNTRY|United States|
SX|SRK|Sky Work Airlines|SKYFOX|Switzerland|
SX|SKB|Skybus Airlines|SKYBUS|United States|defunct
SW|NMB|Air Namibia|NAMIBIA|Namibia|
SV|SVA|Saudia|SAUDIA|Saudi Arabia|
SU|AFL|Aeroflot Russian Airlines|AEROFLOT|Russia|
ST|GMI|Germania|GERMANIA|Germany|
SS|CRL|Corsairfly|CORSAIR|France|
SS|CRL|Corsairfly|CORSAIR|France|
SR|SWR|Swissair|SWISSAIR|Switzerland|defunct
SR|SDR|Sundair|SUNDAIR|Germany|
SQ|SIA|Singapore Airlines|SINGAPORE|Singapore|
SQ|SQC|Singapore Airlines Cargo|SINGCARGO|Singapore|
SP|SAT|SATA Air Acores|SATA|Portugal|
SO|HKA|Superior Aviation|SPEND AIR|United States|
SO|OSL|Sosoliso Airlines|SOSOLISO|Nigeria|
SO|AAS|Sunshine Airlines||	defunct
SN|BXI|Brussels International Airlines|XENIA|Belgium|
SN|BEL|Brussels Airlines|BEE-LINE|Belgium|
SM|AAW|Aberdeen Airways||United Kingdom|defunct; subsidiary of Air Provence
SM|SRL|Swedline Express|Starline|Sweden|Ceased operations 2006
SL|RSL|Rio Sul Serviços Aéreos Regionais|RIO SUL|Brazil|defunct
SL|TLM|Thai Lion Mentari|MENTARI|Thailand|
SK|SAS|Scandinavian Airlines|SCANDINAVIAN|Sweden, Denmark and Norway|
SK|CNO|SAS Braathens|SCANOR|Norway|
SJ|FOM|Freedom Air|FREE AIR|New Zealand|Operated from 1995 to 30 March 2008
SI|SIH|Skynet Airlines|BLUEJET|Ireland|
SH|FLY|Fly Me Sweden|FLYBIRD|Sweden|
SH|SHA|Sharp Airlines|SHARP|Australia|Uses unregistered ICAO & IATA.
SG|JGO|JetsGo|JETSGO|Canada|defunct
SG|SEJ|Spicejet|SPICEJET|India|
SF|DTH|Tassili Airlines|TASSILI AIR|Algeria|
SE|SEU|XL Airways France|STARWAY|France|
SD|SUD|Sudan Airways|SUDANAIR|Sudan|
SC|CDG|Shandong Airlines|SHANDONG|China|
SB|ACI|Air Caledonie International|AIRCALIN|France|
SA|SAA|South African Airways|SPRINGBOK|South Africa|
S9|HSA|East African Safari Air|DUMA|Kenya|
S8|CSU|Chari Aviation Services|CHARI SERVICE|Chad|
S8|SWW|Shovkoviy Shlyah|WAY AERO|Ukraine|
S8|SWZ|Skywise Airline|SKYWISE|South Africa|
S7|SBI|S7 Airlines|SIBERIAN AIRLINES|Russia|
S6|SRR|Star Air|WHITESTAR|Denmark|
S6||Star Air||Denmark|
S5|TCF|Shuttle America|MERCURY|United States|
S5|TSJ|Trast Aero|TRAST AERO|Kyrgyzstan|
S4|RZO|SATA International|AIR AZORES|Portugal|
S3|BBR|Santa Barbara Airlines|SANTA BARBARA|Venezuela|
S2|RSH|Air Sahara|SAHARA|India|renamed to Jetlite
S0|OKS|Slok Air Gambia|SLOK GAMBIA|Gambia|
RZ||Euro Exec Express||Sweden|
RX|AEH|Aviaexpress|AVEX|Hungary|defunct
RW|RPA|Republic Airlines|BRICKYARD|United States|
RV*|AFI|Africaone|AFRICAWORLD|The Gambia|
RV|ROU|Air Canada Rouge|ROUGE|Canada|
RV|CPN|Caspian Airlines|CASPIAN|Iran|
RU|ABW|AirBridge Cargo|AIRBRIDGE CARGO|Russia|Former IATA: BO
RU|SKI|SkyKing Turks and Caicos Airways|SKYKING|Turks and Caicos Islands|IATA was QW
RT|BUG|UVT Aero||Russia|
RS|ASV|Air Seoul|AIR SEOUL|South Korea|
RS|ICT|Intercontinental de Aviación|CONTAVIA|Colombia|
RS|MJN|Royal Air Force of Oman|MAJAN|Oman|
RR|RFR|Royal Air Force|RAFAIR|United Kingdom|
RQ|KMF|Kam Air|KAMGAR|Afghanistan|
RP*|CHQ|Chautauqua Airlines|CHAUTAUQUA|United States|Was US*
RO|ROT|Tarom|TAROM|Romania|
RL|RIO|Rio Linhas Aéreas|RIO|Brazil|
RL|PPW|Royal Phnom Penh Airways|PHNOM-PENH AIR|Cambodia|
RK|RCT|Skyview Airways|GREENSKY|THAILAND|2014[40]
RK|RKH|Royal Khmer Airlines|KHMER AIR|Cambodia|
RJ|RJA|Royal Jordanian|JORDANIAN|Jordan|
RI|MDL|Mandala Airlines|MANDALA|Indonesia|
RH|HKC|Hong Kong Air Cargo|MASCOT|Hong Kong|
RH|RPH|Republic Express Airlines|PUBLIC EXPRESS|Indonesia|
RG|VRN|VRG Linhas Aéreas|VARIG|Brazil|
RF|FWL|Florida West International Airways|FLO WEST|United States|
RE|REA|Aer Arann|AER ARANN|Ireland|
RE|STK|Stobart Air|STOBART|Ireland|
RD|RYN|Ryan International Airlines|RYAN INTERNATIONAL|United States|
RC|FLI|Atlantic Airways|FAROELINE|Faroe Islands|
RB|SBK|Air Srpska|Air Srpska|Bosnia and Herzegovina|defunct
RB|SYR|Syrian Arab Airlines|SYRIANAIR|Syrian Arab Republic|
RA|RNA|Nepal Airlines|ROYAL NEPAL|Nepal|was Royal Nepal Airlines
R9|CAM|Camai Air|AIR CAMAI|United States|Village Aviation
R8|KGA|Kyrgyzstan Airlines|KYRGYZ|Kyrgyzstan|
R7|OCA|Aserca Airlines|AROSCA|Venezuela|
R6||RACSA||Guatemala|
R5|JAV|Jordan Aviation|JORDAN AVIATION|Jordan|
R5|MAC|Malta Air Charter|MALTA CHARTER|Malta|Defunct?
R3|RME|Armenian Airlines|ARMENIAN|Armenia|defunct
R3|SYL|Aircompany Yakutia|AIR YAKUTIA|Russia|
R3|SYL|Yakutia Airlines|AIR YAKUTIA|Russia|
R2|ORB|Orenburg Airlines|ORENBURG|Russia|
R1||Sirin||	
R0|RPK|Royal Airlines|ROYAL PAKISTAN|Pakistan|
QZ|AWQ|Indonesia AirAsia|WAGON AIR|Indonesia|
QY|BCS|European Air Transport|EUROTRANS|Belgium|
QX|QXE|Horizon Air|HORIZON AIR|United States|
QW|BWG|Blue Wings|BLUE WINGS|Germany|defunct
QV|LAO|Lao Airlines|LAO|Lao People's Democratic Republic|
QU|UTN|UTair-Ukraine|UT Ukraine|Ukraine|
QU|UGA|Uganda Airlines|UGANDA|Uganda|Ceased operations 2001
QT|TPA|TAMPA|TAMPA|Colombia|
QS|QSC|African Safari Airways|ZEBRA|Kenya|
QS|TVS|Smartwings|SKYTRAVEL|Czech Republic|
QR|QTR|Qatar Airways|QATARI|Qatar|
QQ|UTY|Alliance Airlines|UNITY|Australia|
QQ|ROA|Reno Air|RENO AIR|United States|defunct
QO|MPX|Aeromexpress|AEROMEXPRESS|Mexico|
QO|OGN|Origin Pacific Airways|ORIGIN|New Zealand|
QN|ARR|Air Armenia|AIR ARMENIA|Armenia|
QM|AML|Air Malawi|MALAWI|Malawi|
QL|RLN|Aero Lanka|AERO LANKA|Sri Lanka|
QL|RLN|Lankan Cargo|AERO LANKA|Sri Lanka|
QL|LER|Línea Aérea de Servicio Ejecutivo Regional|LASER|Venezuela|
QK|JZA|Air Canada Jazz|JAZZ|Canada|
QJ||Jet Airways||United States|
QI|CIM|Cimber Sterling|CIMBER|Denmark|
QH|LYN|Air Kyrgyzstan|ALTYN AVIA|Kyrgyzstan|Name changed from Kyrgyzstan
QH|FLZ|Aero Leasing|AIR FLORIDA|United States|dba Air Florida
QH|FLA|Air Florida|PALM|United States|relaunching
QH|LYN|Kyrgyzstan|ALTYN AVIA|Kyrgyzstan|Name changed to Air Kyrgyzstan
QF|EAQ|Eastern Australia Airlines|EASTERN|Australia|IATA dupe with parent QANTAS. Also uses 2 letter ICAO EA.
QF|QFA|Qantas|QANTAS|Australia|
QF|QLK|Qantaslink|QLINK|Australia|Turbo-Props
QF|QJE|Qantaslink|QJET|Australia|Qantaslink Jet Operations
QF|SSQ|Sunstate Airlines|SUNSTATE|Australia|Uses IATA of parent QANTAS.
QE|ECC|Crossair Europe|Cigogne|Switzerland|
QD|QCL|Air Class Líneas Aéreas|ACLA|Uruguay|
QC|CRD|Air Corridor|AIR CORRIDOR|Mozambique|defunct
QB|AAJ|Air Alma|AIR ALMA|Canada|Ceased operations 10/01/2002; former IATA code: 4L
QB|GFG|Georgian National Airlines|NATIONAL|Georgia|
Q9|AFU|Afrinat International Airlines|AFRINAT|Gambia|defunct, ICAO code no longer allocated
Q8|PEC|Pacific East Asia Cargo Airlines|PAC-EAST CARGO|Philippines|
Q7|SBM|SkyBahamas|SKY BAHAMAS|Bahamas|
Q6|CDP|Aero Condor Peru|CONDOR-PERU|Peru|
Q5|MLA|40-Mile Air|MILE-AIR|United States|
Q4||Mastertop Linhas Aéreas||Brazil|
Q4|SWX|Swazi Express Airways|SWAZI EXPRESS|Swaziland|
Q4|TLK|Starlink Aviation|STARLINK|Canada|
Q3|MBN|Zambian Airways|ZAMBIANA|Zambia|
Q2|DQA|Maldivian (airline)|SKYSURFER|Maldives|
PZ|LAP|LATAM Paraguay|PARAGUAYA|Paraguay|
PZ|LAP|TAM Mercosur|PARAGUAYA|Paraguay|
PY|SLM|Surinam Airways|SURINAM|Suriname|
PX|ANG|Air Niugini|NIUGINI|Papua New Guinea|
PW|PRF|Precision Air|PRECISION AIR|Tanzania|
PV|PNR|PAN Air|SKYJET|Spain|
PV|SBU|St Barth Commuter|BLACK FIN|France|
PU|PUA|PLUNA|PLUNA|Uruguay|
PT|CCI|Capital Cargo International Airlines|CAPPY|United States|Allocation deleted 2013
PT|SWN|West Air Sweden|AIR SWEDEN|Sweden|
PS|AUI|Ukraine International Airlines|UKRAINE INTERNATIONAL|Ukraine|
PR|PAL|Philippine Airlines|PHILIPPINE|Philippines|
PP|PJS|Jet Aviation|JETAVIATION|Switzerland|
PO|PAC|Polar Air Cargo|POLAR|United States|
PN|CHB|West Air (China)|WEST CHINA|China|
PN||Pan American Airways||United States|defunct
PM|TOS|Tropic Air|TROPISER|Belize|
PL|PLI|Aeroperú|Aeroperu|Peru|defunct
PL|ASE|Airstars|MOROZOV|Russia|defunct
PK|PIA|Pakistan International Airlines|PAKISTAN|Pakistan|
PJ|SPM|Air Saint Pierre|SAINT-PIERRE|France|
PI|PDT|Piedmont Airlines (1948-1989)|PIEDMONT|United States|defunct
PI|SGU|Sol del Paraguay|SOLPARAGUAYO|Paraguay|
PI|SUF|Sun Air (Fiji)|SUNFLOWER|Fiji|
PH|PAO|Polynesian Airlines|POLYNESIAN|Samoa|
PG|BKP|Bangkok Airways|BANGKOK AIR|Thailand|
PF|PNW|Palestinian Airlines|PALESTINIAN|Egypt|
PE|AEL|Air Europe Italy|AIR EUROPE|Italy|defunct
PE|PEV|People's|PEOPLES|Austria|Previously used by Pegaviation
PD|POE|Porter Airlines|PORTER|Canada|
PC|FAJ|Air Fiji|FIJIAIR|Fiji|defunct
PC|PVV|Continental Airways|CONTAIR|Russia|
PC|PGT|Pegasus Airlines|SUNTURK|Turkey|WAS 1I, H9
PA|FCL|Florida Coastal Airlines|FLORIDA COASTAL|United States|
PA|PAA|Pan American Airways||United States|defunct
PA|PAA|Pan American World Airways|CLIPPER|United States|
P9||Nas Air||Mali|
P9|PGP|Perm Airlines|PERM AIR|Russia|
P9|PVN|Peruvian Airlines||Peru|
P8|MKG|Air Mekong|MEKONG|Vietnam|defunct
P8|PTN|Pantanal Linhas Aéreas|PANTANAL|Brazil|
